,sex,age,Pstatus,famrel,Medu,Mjob,Fedu,Fjob,goout,health,Dalc
560,0,15,1,4,3,services,3,services,1,3,2
561,1,19,1,4,3,services,2,at_home,4,4,1
562,0,17,1,4,4,other,4,teacher,1,4,1
563,1,15,1,4,2,at_home,3,services,4,1,1
564,1,17,1,2,1,other,2,other,2,5,3
565,0,18,1,5,1,at_home,1,other,5,4,1
566,1,16,1,4,2,at_home,2,other,2,3,1
567,1,16,1,4,3,other,3,services,5,5,4
568,1,16,1,4,1,health,2,services,5,5,3
569,1,17,1,3,2,at_home,1,other,2,5,2
570,1,17,1,4,3,other,2,other,4,3,1
571,1,15,1,4,1,other,2,other,4,5,2
572,1,16,1,5,1,at_home,3,services,3,2,1
573,1,17,1,5,1,other,1,services,5,5,1
574,1,17,1,4,3,services,2,services,2,2,1
575,1,16,1,4,2,other,2,other,5,4,2
576,0,16,1,4,4,health,2,services,3,3,1
577,0,16,1,5,2,other,2,other,5,4,1
578,0,16,1,4,4,health,4,health,2,3,1
579,1,16,1,3,3,other,4,other,5,2,2
580,1,16,1,4,1,other,0,other,2,3,1
581,1,17,1,4,4,teacher,4,other,4,5,1
582,0,16,1,4,1,at_home,3,services,5,3,1
583,0,16,1,4,3,other,3,other,5,4,1
584,1,17,1,4,4,teacher,3,other,4,4,4
585,0,16,1,3,2,services,2,other,4,5,1
586,1,17,1,4,3,other,3,other,4,4,1
587,1,16,1,4,4,teacher,2,services,3,3,3
588,1,17,1,5,4,other,3,other,3,2,1
589,1,16,1,3,4,teacher,3,other,3,3,2
590,1,16,1,4,3,services,3,other,3,3,1
591,0,17,1,5,2,services,4,services,2,5,2
592,0,17,1,5,3,other,3,other,3,1,2
593,0,16,1,1,3,other,2,other,2,1,1
594,1,17,1,4,3,services,3,services,4,4,2
595,1,16,1,3,1,services,2,services,3,3,1
596,1,16,1,4,2,other,1,other,3,5,1
597,0,17,0,3,3,health,3,other,3,3,1
598,1,17,1,3,1,at_home,2,other,3,3,1
599,0,16,1,4,2,services,3,services,3,2,1
600,0,17,1,5,1,at_home,1,services,3,3,1
601,1,17,1,4,1,at_home,2,services,4,5,4
602,1,16,1,4,3,services,3,services,2,5,3
603,1,16,1,5,2,other,3,other,3,3,1
604,0,17,1,4,2,services,4,services,2,5,1
605,1,17,1,5,4,services,4,teacher,3,5,1
606,1,16,1,3,3,teacher,3,other,4,3,3
607,0,17,1,4,4,services,4,teacher,4,2,2
608,0,16,1,4,4,teacher,4,teacher,2,3,1
609,0,16,1,4,4,health,3,other,5,2,1
610,0,16,1,4,2,other,3,other,3,4,1
611,0,17,1,4,1,other,1,other,4,1,1
612,0,17,1,5,2,other,2,other,2,3,1
613,0,16,1,5,2,services,2,services,5,5,1
614,0,17,1,4,3,at_home,4,services,3,5,3
615,0,16,0,2,3,services,1,other,3,4,2
616,0,16,1,1,4,teacher,3,other,2,1,1
617,0,16,1,4,1,at_home,1,other,2,5,1
618,0,17,1,4,4,teacher,3,other,2,4,1
619,0,19,1,4,3,other,3,other,3,3,1
620,1,17,1,5,4,services,4,other,5,3,4
621,0,16,0,3,2,other,2,other,4,4,1
622,1,18,1,4,2,services,2,other,4,5,2
623,0,17,1,5,4,services,4,other,1,3,1
624,0,17,1,4,3,other,2,other,4,1,1
625,0,17,1,3,4,other,3,other,5,1,2
626,1,18,1,3,3,services,3,health,4,4,2
627,0,17,1,3,2,at_home,3,other,3,3,1
628,0,17,1,4,2,at_home,2,at_home,3,4,1
629,0,17,1,4,2,at_home,1,services,5,5,1
630,0,17,1,4,1,at_home,1,other,4,5,1
631,0,16,1,2,2,services,3,teacher,1,3,1
632,1,18,1,3,2,other,2,other,3,4,5
633,0,16,1,5,4,teacher,4,services,2,5,1
634,0,18,1,5,3,other,1,other,3,4,1
635,0,17,1,5,3,other,2,other,4,3,1
636,1,17,1,5,2,services,3,services,3,3,1
637,1,18,1,4,2,at_home,1,other,2,3,4
638,0,17,0,3,2,other,1,other,3,3,1
639,0,17,1,3,4,health,3,other,3,3,1
640,1,17,1,4,2,other,2,other,2,1,1
641,1,17,1,4,4,teacher,4,teacher,5,2,1
642,1,16,1,4,4,health,4,other,4,1,2
643,1,16,1,3,1,other,1,other,2,5,1
644,1,16,1,5,3,at_home,2,other,3,2,1
645,1,17,1,4,2,other,2,other,2,4,5
646,0,16,1,4,2,other,1,other,2,5,1
647,0,16,0,5,4,other,1,other,3,5,1
648,0,18,0,4,2,services,4,other,3,3,1
649,0,18,1,5,2,at_home,2,services,1,5,1
650,0,18,1,4,3,other,3,other,1,3,1
651,1,18,1,4,2,other,2,at_home,3,1,2
652,1,17,1,4,4,teacher,4,teacher,1,5,1
653,0,17,1,5,3,other,2,other,2,3,1
654,0,17,1,4,1,at_home,1,at_home,2,4,1
655,0,16,1,5,1,other,2,other,5,5,1
656,0,17,1,2,2,at_home,1,services,1,3,1
657,0,17,0,5,1,other,4,other,4,5,1
658,1,18,1,5,2,other,2,services,4,2,3
659,0,17,0,3,2,other,2,other,2,1,1
660,0,17,1,4,1,at_home,1,other,3,5,1
661,0,17,0,4,4,teacher,2,other,2,4,1
662,1,17,1,2,4,health,3,other,5,5,1
663,1,17,0,3,4,teacher,4,other,3,4,2
664,1,16,1,5,4,teacher,3,other,5,3,1
665,1,16,1,5,4,services,4,services,2,5,1
666,0,17,1,5,4,teacher,4,services,1,5,1
667,1,17,1,4,1,other,1,other,3,1,1
668,0,17,1,4,3,services,3,other,2,5,2
669,0,17,1,4,1,at_home,1,other,2,4,1
670,0,18,1,4,2,other,1,other,4,3,1
671,1,16,1,4,2,other,1,other,3,4,1
672,0,17,1,4,1,other,1,services,4,5,1
673,1,17,1,5,2,other,3,other,2,2,1
674,1,22,1,5,3,services,1,services,5,1,5
675,1,18,1,4,3,other,3,services,3,5,1
676,1,16,1,4,0,other,2,other,2,5,2
677,1,18,1,4,3,services,2,other,5,5,2
678,1,16,1,5,3,at_home,3,other,3,2,1
679,1,18,1,3,2,services,1,services,5,5,2
680,1,16,1,3,2,other,1,other,2,3,1
681,1,17,1,4,2,other,1,other,2,5,2
682,1,17,1,4,1,health,1,other,4,5,1
683,0,18,0,4,2,other,1,other,4,5,1
684,0,17,1,4,4,teacher,2,services,3,4,1
685,0,19,1,4,2,services,2,services,3,5,1
686,1,18,1,4,2,services,1,other,5,5,4
687,0,17,1,4,4,other,2,other,4,5,1
688,0,18,1,4,1,other,1,at_home,3,3,2
689,0,18,1,3,2,other,2,other,3,5,1
690,1,19,0,4,4,services,3,at_home,1,1,1
691,1,18,1,5,2,other,1,other,4,4,1
692,1,17,1,5,2,other,2,services,2,4,1
693,0,17,1,3,2,services,2,services,1,2,1
694,0,20,1,1,2,other,1,other,3,2,1
695,0,18,1,3,4,services,3,other,2,2,1
696,1,18,1,4,4,teacher,3,other,2,3,1
697,1,18,1,5,3,other,2,other,2,3,1
698,0,17,1,3,3,other,3,other,3,4,1
699,0,18,1,4,2,at_home,2,services,3,3,1
700,1,17,1,4,2,other,2,other,4,4,2
701,1,18,0,4,3,other,4,other,5,1,3
702,1,17,1,5,3,services,1,other,4,5,3
703,0,18,1,4,4,teacher,4,other,4,4,2
704,1,18,1,5,4,health,2,other,5,5,1
705,0,18,1,4,2,other,1,other,5,3,1
706,0,19,1,4,3,other,3,services,5,5,3
707,0,18,1,4,2,other,3,services,5,2,1
708,0,18,1,4,1,other,1,other,3,3,1
709,1,17,1,3,1,at_home,2,at_home,2,1,2
710,0,18,1,4,2,other,1,other,5,1,1
711,0,17,1,4,2,at_home,4,health,3,1,1
712,0,17,1,4,2,services,2,other,4,5,2
713,0,18,0,4,3,other,2,services,1,5,1
714,1,18,1,3,4,teacher,4,services,4,3,1
715,0,18,1,2,4,health,4,health,4,4,1
716,0,17,1,4,2,other,2,services,3,1,1
717,0,19,1,3,3,services,2,services,3,3,4
718,1,18,1,4,4,teacher,3,services,3,1,1
719,1,18,1,3,1,at_home,2,other,4,4,2
720,1,17,0,4,4,services,1,other,4,5,2
721,1,17,0,4,3,teacher,2,services,4,3,3
722,0,18,1,5,1,at_home,1,other,2,3,1
723,0,18,1,5,1,other,1,other,4,4,1
724,0,17,1,5,2,other,2,other,5,5,1
725,0,18,1,4,2,other,1,other,1,5,1
726,1,17,1,4,1,other,1,other,3,4,1
727,0,18,1,4,2,at_home,2,at_home,3,2,1
728,0,17,1,4,1,services,1,teacher,3,3,1
729,1,18,1,4,2,services,1,services,4,2,1
730,1,18,0,5,4,teacher,4,teacher,3,2,1
731,1,18,1,4,4,teacher,2,other,2,5,1
732,0,17,1,4,4,health,3,services,2,3,1
733,0,17,1,3,3,services,1,other,2,3,1
734,1,18,1,5,3,services,2,other,2,4,1
735,1,17,1,4,3,health,3,other,3,5,1
736,0,19,1,2,4,health,4,other,4,2,2
737,0,18,1,4,4,other,3,other,5,2,1
738,0,18,1,4,4,other,3,other,3,3,1
739,1,18,1,1,4,teacher,4,teacher,2,1,2
740,0,18,0,4,4,health,4,other,4,4,1
741,1,17,1,4,4,other,4,teacher,1,5,2
742,0,17,1,5,4,services,4,services,4,5,1
743,0,17,1,4,4,other,2,other,3,3,1
744,0,17,1,5,3,health,2,health,2,5,1
745,1,19,1,4,2,at_home,1,services,1,5,1
746,1,20,0,5,3,services,2,other,3,5,1
747,1,19,1,4,3,other,3,services,3,5,1
748,0,18,1,3,1,other,4,teacher,4,5,1
749,0,18,1,5,2,services,1,other,3,1,1
750,0,17,1,4,2,other,3,other,1,3,1
751,0,17,1,4,4,teacher,4,teacher,4,5,1
752,0,18,1,4,4,other,3,other,4,5,1
753,0,18,1,3,4,health,3,services,4,1,1
754,0,17,1,4,3,at_home,4,services,4,5,2
755,0,18,1,4,3,at_home,3,other,4,3,1
756,1,19,1,5,4,health,2,other,4,1,1
757,0,18,1,4,4,teacher,4,other,4,5,3
758,0,18,1,5,3,other,4,other,4,1,1
759,0,17,1,5,4,health,4,health,4,5,1
760,0,17,0,5,4,services,3,services,2,5,1
761,0,17,0,5,3,services,3,other,3,5,1
762,0,17,1,4,2,other,1,other,3,2,2
763,1,18,1,4,4,other,4,other,5,5,3
764,0,19,1,1,1,other,1,other,5,5,4
765,0,19,0,5,1,other,1,other,4,4,1
766,0,18,1,4,2,other,2,other,5,5,2
767,0,17,1,4,2,other,2,other,2,3,1
768,0,17,1,3,2,services,2,services,2,3,2
769,0,17,1,3,3,services,1,services,3,5,2
770,0,17,1,3,0,at_home,2,at_home,3,2,2
771,0,18,1,4,1,other,1,other,5,2,1
772,1,18,1,4,4,other,4,other,3,3,2
773,1,17,1,4,3,other,3,services,5,5,3
774,1,17,1,4,2,services,2,other,5,4,5
775,0,17,1,5,4,teacher,4,services,4,4,1
776,0,17,1,4,4,teacher,4,teacher,3,4,1
777,0,17,1,4,3,at_home,3,other,5,5,2
778,1,18,1,4,2,other,2,other,5,5,2
779,1,19,1,5,3,at_home,2,services,4,5,2
780,0,18,1,4,2,at_home,2,other,5,2,1
781,0,17,1,4,2,at_home,4,other,3,5,1
782,1,18,1,5,2,other,2,other,2,5,1
783,0,18,1,5,3,services,3,services,4,4,1
784,0,18,1,4,2,other,2,other,3,2,1
785,0,18,1,4,2,at_home,2,other,4,4,1
786,0,17,1,4,3,services,4,other,5,5,1
787,0,17,1,4,3,other,2,other,2,2,2
788,0,18,1,5,3,services,3,services,3,1,1
789,0,17,0,4,3,other,2,other,3,2,2
790,1,18,1,4,4,teacher,4,services,3,2,2
791,1,18,1,4,3,services,4,other,3,5,1
792,0,17,0,3,2,at_home,2,at_home,1,4,1
793,0,18,1,4,2,at_home,3,other,3,3,1
794,0,18,1,5,3,other,2,services,3,1,2
795,1,18,1,5,4,teacher,3,services,2,4,1
796,1,18,1,5,4,teacher,3,other,5,5,2
797,0,17,1,4,4,health,3,other,3,4,1
798,0,17,1,4,2,services,1,other,4,1,2
799,0,17,1,4,2,services,1,other,5,4,2
800,0,19,0,2,2,at_home,3,other,3,5,3
801,0,17,1,4,3,other,1,at_home,2,3,1
802,0,21,1,3,4,other,4,other,2,5,1
803,1,18,1,4,2,services,2,services,4,3,1
804,1,18,0,4,3,other,4,other,5,2,1
805,0,17,1,4,2,services,2,services,4,4,1
806,1,17,0,4,4,health,4,other,2,4,1
807,0,18,1,4,4,teacher,2,other,2,3,1
808,1,21,1,5,1,at_home,1,other,3,4,5
809,0,20,1,3,1,other,1,other,2,3,1
810,0,19,1,3,4,teacher,4,other,5,5,4
811,1,17,0,4,3,other,2,other,4,5,1
812,0,18,1,4,3,at_home,2,other,4,2,1
813,1,18,1,3,2,other,3,services,3,4,4
814,1,19,1,5,2,other,1,other,4,4,1
815,0,18,0,4,2,services,2,other,4,4,1
816,0,20,1,5,1,other,0,other,1,5,1
817,0,18,1,3,3,services,2,other,2,1,1
818,0,16,1,4,1,at_home,3,other,3,5,1
819,0,16,1,4,2,other,2,other,4,5,1
820,0,15,1,4,1,at_home,1,services,3,2,1
821,0,15,1,5,3,at_home,3,other,4,5,2
822,0,16,1,4,2,at_home,3,services,2,5,1
823,0,15,1,1,2,at_home,1,other,4,1,1
824,1,16,0,5,4,at_home,4,other,2,2,1
825,1,16,0,4,1,other,2,other,3,5,1
826,0,17,1,4,3,at_home,2,other,4,5,1
827,0,17,1,5,1,other,1,other,4,5,2
828,0,15,1,1,4,teacher,4,other,1,5,3
829,0,16,0,1,2,at_home,2,other,1,1,1
830,0,15,1,5,1,at_home,1,services,3,4,1
831,0,15,1,4,1,other,1,services,3,2,1
832,0,16,1,3,0,other,2,other,3,2,1
833,0,17,1,5,2,other,3,other,5,3,1
834,0,15,1,4,3,other,3,services,3,4,1
835,1,16,1,5,1,at_home,1,services,5,3,4
836,1,17,1,4,1,other,1,other,3,5,2
837,1,15,1,5,4,health,1,services,4,2,1
838,1,15,1,5,4,health,1,services,4,2,1
839,1,16,1,3,3,other,4,health,5,5,1
840,1,15,1,5,1,other,1,other,5,4,2
841,1,15,1,5,3,at_home,3,at_home,3,5,1
842,1,17,1,5,2,other,1,other,5,3,5
843,0,16,1,4,4,teacher,4,teacher,2,4,1
844,0,15,1,5,1,other,2,services,2,1,1
845,0,16,1,4,2,other,3,services,4,1,1
846,1,16,1,4,1,other,2,other,3,5,1
847,0,16,1,4,2,other,2,other,5,4,1
848,0,16,1,1,1,other,2,services,2,4,1
849,0,16,1,1,1,other,2,services,2,4,1
850,0,15,1,4,2,at_home,1,other,2,2,3
851,0,16,1,5,1,at_home,1,other,3,2,2
852,1,17,1,5,1,at_home,2,services,5,3,5
853,0,16,1,4,1,other,1,other,2,1,1
854,0,16,1,4,1,at_home,1,other,3,5,1
855,0,15,1,4,1,at_home,1,other,3,2,1
856,0,16,1,4,1,at_home,1,other,2,2,4
857,0,15,1,4,1,at_home,1,at_home,1,2,1
858,0,15,1,4,2,other,2,other,3,5,2
859,1,16,1,3,1,at_home,1,other,4,5,3
860,0,18,1,3,1,other,2,other,4,5,2
861,1,15,1,3,3,other,1,services,3,4,1
862,0,16,1,5,2,other,2,services,4,2,1
863,1,15,1,4,2,health,2,other,3,4,1
864,1,16,1,4,4,other,4,teacher,1,3,1
865,0,15,1,4,3,services,3,other,4,1,1
866,0,16,1,4,2,at_home,2,other,4,5,2
867,0,16,1,4,2,other,2,other,2,4,1
868,1,16,1,2,2,at_home,1,services,3,4,2
869,1,15,1,4,1,at_home,3,other,4,3,3
870,0,15,1,5,2,other,2,services,2,4,1
871,0,16,1,5,2,other,1,other,3,5,1
872,1,15,1,4,3,services,3,services,3,3,2
873,0,16,1,3,1,at_home,1,other,3,1,1
874,0,17,1,4,2,other,2,at_home,3,5,1
875,0,19,1,4,2,at_home,3,services,4,2,1
876,0,17,1,5,2,at_home,1,other,3,3,1
877,0,15,1,5,1,at_home,1,other,1,4,1
878,0,16,1,3,2,other,2,other,5,1,1
879,0,16,0,4,2,other,2,other,4,1,1
880,0,17,1,4,2,at_home,2,other,5,4,1
881,0,16,1,4,2,other,2,services,3,3,1
882,0,18,0,3,3,other,2,other,2,2,1
883,0,19,1,5,1,at_home,1,services,1,3,1
884,1,18,1,4,1,other,1,other,3,4,3
885,0,18,1,3,1,at_home,1,at_home,3,2,1
886,0,19,1,1,1,other,1,other,4,1,4
887,0,16,0,3,2,health,2,other,2,3,1
888,0,17,1,2,0,other,1,at_home,4,5,3
889,0,16,1,4,1,at_home,2,other,5,3,1
890,0,16,1,4,3,other,3,other,4,4,1
891,0,16,1,4,1,services,1,services,4,4,2
892,1,17,1,5,3,services,3,at_home,5,5,3
893,0,16,1,5,2,other,1,services,3,1,1
894,0,16,1,4,2,services,2,other,5,5,1
895,1,17,1,5,1,other,2,other,5,1,5
896,1,16,1,4,4,other,3,other,5,5,1
897,1,17,1,1,2,services,2,services,5,3,3
898,0,16,1,2,1,other,1,other,1,5,1
899,0,19,1,5,2,other,2,other,5,1,1
900,0,17,1,4,1,at_home,1,other,5,5,1
901,0,20,1,3,3,at_home,3,services,4,3,2
902,0,17,1,4,1,other,1,services,3,3,1
903,1,17,1,4,2,other,2,other,5,5,1
904,0,16,1,5,1,at_home,1,other,2,1,1
905,0,17,1,5,2,other,2,other,2,1,1
906,0,17,0,4,1,other,0,other,5,4,1
907,0,18,1,4,1,at_home,1,other,2,5,1
908,0,16,1,3,3,other,1,other,3,1,1
909,0,16,1,3,3,services,2,at_home,3,3,1
910,0,18,1,2,1,other,1,at_home,5,3,1
911,0,16,1,4,4,health,4,teacher,3,2,2
912,0,16,1,5,1,other,2,other,5,2,1
913,0,18,0,2,2,other,4,services,2,1,1
914,1,16,1,5,2,other,1,services,1,2,1
915,0,16,1,4,1,at_home,1,other,2,5,1
916,0,16,1,3,2,at_home,3,services,3,2,1
917,0,16,1,4,4,health,4,health,4,3,1
918,1,18,1,5,4,at_home,4,health,5,5,5
919,0,16,1,4,3,at_home,4,other,1,2,1
920,1,17,1,4,4,other,4,services,3,5,1
921,0,17,1,4,4,other,1,other,3,5,1
922,1,16,1,5,2,services,2,services,3,3,2
923,0,17,1,5,2,at_home,2,other,3,5,1
924,0,16,1,5,4,services,4,services,3,5,1
925,1,17,1,4,3,services,3,services,4,3,5
926,1,17,1,5,1,at_home,1,services,3,1,3
927,1,16,1,4,2,health,1,services,2,5,1
928,0,16,1,3,2,other,1,services,2,3,1
929,1,16,1,4,4,teacher,4,health,2,5,2
930,1,15,1,5,1,other,2,services,5,5,1
931,1,15,0,5,2,other,2,other,5,5,2
932,1,15,0,4,2,services,1,services,3,5,1
933,0,16,1,4,2,other,2,other,3,5,2
934,0,16,1,1,4,other,1,other,4,1,2
935,0,17,1,4,3,at_home,2,other,3,1,2
936,0,17,1,5,2,other,2,other,3,5,1
937,0,16,1,5,4,teacher,4,services,5,5,1
938,1,17,1,3,4,health,4,other,3,5,1
939,1,17,1,5,1,other,3,other,2,5,3
940,1,17,1,5,3,services,4,other,4,5,3
941,0,17,1,5,4,health,4,health,5,5,1
942,1,16,1,4,4,other,1,at_home,2,2,2
943,0,17,0,4,1,at_home,1,at_home,5,3,1
944,0,17,1,4,4,other,2,other,3,5,2
945,1,16,0,4,2,other,2,services,2,5,2
946,1,17,1,4,3,other,2,other,2,1,2
947,1,19,1,4,1,other,1,other,3,4,3
948,1,17,0,4,1,other,0,other,2,5,1
949,0,17,1,3,1,at_home,1,at_home,5,4,2
950,0,16,1,4,1,other,2,other,4,3,1
951,1,16,1,4,1,other,2,at_home,4,5,2
952,0,17,1,5,3,other,1,other,4,5,1
953,1,17,1,5,2,other,2,other,5,5,3
954,1,18,1,4,1,at_home,0,at_home,2,4,1
955,1,17,1,4,1,other,1,services,5,2,1
956,1,18,1,4,1,at_home,1,at_home,3,5,1
957,0,16,1,5,2,other,2,services,3,1,1
958,1,17,1,1,2,other,2,other,1,5,2
959,1,16,1,4,3,services,2,other,5,5,2
960,1,16,1,4,1,at_home,1,other,5,5,2
961,1,18,1,5,1,services,1,other,3,5,2
962,1,18,1,2,3,services,2,other,1,5,2
963,1,19,1,3,3,at_home,2,services,1,3,1
964,1,18,1,4,3,at_home,3,at_home,5,3,1
965,1,16,1,5,2,services,2,services,3,4,2
966,1,19,1,4,2,at_home,1,other,3,5,1
967,0,16,0,2,3,services,2,at_home,5,1,1
968,0,17,1,4,1,other,1,at_home,2,5,1
969,1,20,1,4,1,other,1,other,3,4,2
970,0,18,0,5,4,services,3,services,4,2,3
971,1,18,1,2,3,other,2,other,5,5,5
972,1,19,1,5,1,other,1,services,4,2,3
973,1,17,1,4,3,health,3,other,4,3,2
974,1,18,1,4,1,at_home,3,services,3,3,2
975,1,19,1,4,1,other,1,other,4,5,3
976,0,18,0,4,1,at_home,2,other,3,5,1
977,0,19,0,1,1,at_home,1,other,4,5,1
978,0,18,1,5,2,other,2,other,5,3,1
979,0,17,1,4,0,at_home,0,other,3,5,1
980,0,17,0,4,3,other,1,at_home,3,3,2
981,0,17,1,5,4,teacher,2,services,5,5,1
982,0,18,1,2,2,services,2,services,3,4,1
983,0,17,1,3,4,health,1,at_home,2,5,1
984,0,17,1,5,1,at_home,2,other,1,3,1
985,0,18,1,3,1,other,1,other,4,5,2
986,0,18,1,4,2,services,2,at_home,5,1,1
987,0,17,1,4,3,services,3,services,3,4,1
988,0,18,0,4,1,at_home,2,other,3,4,1
989,0,18,1,4,4,teacher,4,teacher,5,1,1
990,1,18,1,5,4,services,4,other,5,5,1
991,0,17,1,4,4,other,2,other,3,4,1
992,0,18,1,4,2,at_home,2,other,3,4,1
993,1,18,1,4,1,at_home,2,services,4,1,5
994,1,18,1,2,4,at_home,4,services,5,1,1
995,1,17,1,4,1,other,1,services,3,4,3
996,0,18,1,1,2,other,2,other,1,2,1
997,0,18,1,5,2,services,2,services,5,3,1
998,0,18,0,5,4,teacher,2,other,1,5,1
999,0,18,1,4,1,at_home,1,services,2,2,1
1000,0,19,1,5,1,at_home,1,services,5,2,2
1001,0,17,1,4,4,teacher,2,other,3,5,3
1002,0,17,0,5,2,services,1,other,3,2,1
1003,0,18,0,5,1,at_home,1,services,3,3,1
1004,0,18,1,4,1,at_home,2,at_home,1,4,1
1005,0,19,0,3,1,at_home,1,at_home,4,1,1
1006,0,18,1,4,2,services,2,other,1,4,1
1007,1,17,1,4,4,services,3,other,5,2,1
1008,0,18,1,5,3,services,3,services,4,5,1
1009,0,17,1,4,4,teacher,4,services,3,5,1
1010,0,17,0,1,3,services,2,other,3,5,1
1011,1,18,1,3,1,other,1,services,2,3,1
1012,0,18,1,5,1,at_home,1,services,2,4,1
1013,0,18,0,4,1,at_home,2,other,4,5,1
1014,0,18,1,4,3,services,3,services,2,3,1
1015,0,17,1,2,4,at_home,4,at_home,4,1,1
1016,0,17,1,3,1,other,2,services,2,3,1
1017,1,18,1,3,1,at_home,3,other,4,3,2
1018,1,18,1,4,4,teacher,4,services,2,5,2
1019,0,17,1,5,1,other,1,services,1,1,1
1020,0,18,1,5,2,at_home,3,services,3,4,1
1021,0,18,1,3,4,other,4,teacher,2,5,4
1022,1,18,1,4,1,at_home,2,services,3,3,2
1023,0,17,1,3,2,other,2,at_home,3,3,1
1024,0,17,1,3,1,other,2,other,5,1,1
1025,0,18,1,5,4,other,4,other,4,1,1
1026,0,18,1,4,1,other,1,other,2,4,1
1027,0,19,1,4,1,at_home,1,other,3,3,1
1028,0,18,1,5,4,teacher,4,services,3,2,3
1029,0,18,1,4,3,other,3,other,3,1,1
1030,0,17,1,4,3,at_home,1,other,4,1,2
1031,1,18,1,3,4,teacher,4,teacher,4,2,1
1032,1,18,1,4,2,other,1,other,3,5,1
1033,1,17,1,4,2,other,3,services,3,3,1
1034,1,19,1,4,1,other,1,services,2,5,1
1035,1,18,1,5,4,other,2,other,3,3,4
1036,0,18,1,5,2,at_home,2,other,3,4,1
1037,0,17,1,5,4,teacher,3,other,4,1,1
1038,0,18,1,4,4,teacher,4,at_home,3,5,2
1039,0,19,1,5,2,services,3,other,2,5,1
1040,0,18,1,4,3,teacher,1,services,4,1,1
1041,0,18,1,1,1,other,1,other,1,5,1
1042,1,17,1,2,3,services,1,services,5,2,3
1043,1,18,1,4,3,services,2,other,1,5,3
